"Внешний код";"Наименование элемента";"Артикул [ARTNUMBER]";"Бренд [MANUFACTURER]";"Название раздела";"Название раздела";"Название раздела";"Цена ""Розничная цена""";"Валюта для цены ""Розничная цена"""
"00-00003776";"(заменен на DRV-EUP12T-1HMC-0)";"003776";"HEP";"Светильники";"Драйверы";"Диммируемые";"2253.00";"RUB"
"9916";"Combo 2.0 Adjustable наклонно-поворотный";"";"LUMKER";"Светильники";"Потолочные";"Светильники-конструкторы";"12050.00";"RUB"
"10322";"Combo 2.0 EKKO 1";"";"LUMKER";"Светильники";"Потолочные";"Светильники-конструкторы";"8827.00";"RUB"
"10323";"Combo 2.0 EKKO 2";"";"LUMKER";"Светильники";"Потолочные";"Светильники-конструкторы";"8827.00";"RUB"
"9917";"Combo 2.0 Magnet с цветной накладкой";"";"LUMKER";"Светильники";"Потолочные";"Светильники-конструкторы";"9430.00";"RUB"
"9918";"Combo 2.0 SR Низкопрофильный закругленный";"";"LUMKER";"Светильники";"Потолочные";"Светильники-конструкторы";"8827.00";"RUB"
"9919";"Combo 2.0 ST Низкопрофильный";"";"LUMKER";"Светильники";"Потолочные";"Светильники-конструкторы";"8592.00";"RUB"
"9912";"Combo 2.0 ST1 Стандартный";"";"LUMKER";"Светильники";"Потолочные";"Светильники-конструкторы";"8827.00";"RUB"
"9920";"Combo 2.0 ST2 Глубокий";"";"LUMKER";"Светильники";"Потолочные";"Светильники-конструкторы";"8827.00";"RUB"
"9921";"Combo 2.0 Wallwasher для освещения стен";"";"LUMKER";"Светильники";"Потолочные";"Светильники-конструкторы";"9548.00";"RUB"
"00-00011329";"COMBO2-BASE2-NW-N  без драйвера";"011329";"";"Светильники";"COMBO 2";"";"2737.00";"RUB"
"00-00011328";"COMBO2-BASE2-WW-N без драйвера";"011328";"";"Светильники";"COMBO 2";"";"2737.00";"RUB"
"00-00011704";"COMBO2-BASE3-NW-N";"011704";"";"Светильники";"COMBO 2";"";"2513.00";"RUB"
"00-00011703";"COMBO2-BASE3-WW-N";"011703";"";"Светильники";"COMBO 2";"";"2513.00";"RUB"
"00-00011665";"EKKO1-WH";"011665";"";"Светильники";"COMBO 2";"";"1663.00";"RUB"
"00-00011666";"EKKO2-WH";"011666";"";"Светильники";"COMBO 2";"";"1663.00";"RUB"
"00-00008644";"FLEX-коннектор для однофазного трека";"008644";"DesignLed";"Светильники";"Трековые системы";"Однофазные трековые системы";"1498.00";"RUB"
"00-00008643";"FLEX-коннектор для однофазного трека CN2-WH-FLEX";"008643";"DesignLed";"Светильники";"Трековые системы";"Однофазные трековые системы";"1498.00";"RUB"
"00-00005467";"I-Коннектор для однофазного встраиваемого трека";"005467";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB"
"00-00004908";"I-Коннектор для однофазного встраиваемого трека KXZ-RC-BL-I";"004908";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB"
"00-00000905";"I-Коннектор для однофазного накладного трека";"000905";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB"
"00-00000413";"I-Коннектор для однофазного накладного трека KXZ-WH-I";"000413";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB"
"00-00003723";"I-коннектор для однофазного трека";"003723";"DesignLed";"Светильники";"Трековые системы";"Однофазные трековые системы";"247.00";"RUB"
"00-00003722";"I-коннектор для однофазного трека CN2-WH-I";"003722";"DesignLed";"Светильники";"Трековые системы";"Однофазные трековые системы";"247.00";"RUB"
"00-00005442";"I-коннектор для трехфазного трека";"005442";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1345.00";"RUB"
"00-00004385";"I-коннектор для трехфазного трека CN-3F-I-BL";"004385";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1345.00";"RUB"
"00-00005468";"L-Коннектор для однофазного встраиваемого трека";"005468";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB"
"00-00004909";"L-Коннектор для однофазного встраиваемого трека KXZ-RC-WH-L";"004909";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB"
"00-00000414";"L-Коннектор для однофазного накладного трека";"000414";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB"
"00-00001839";"L-Коннектор для однофазного накладного трека KXZ-WH-L";"001839";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB"
"00-00003724";"L-коннектор для однофазного трека";"003724";"DesignLed";"Светильники";"Трековые системы";"Однофазные трековые системы";"401.00";"RUB"
"00-00003725";"L-коннектор для однофазного трека";"003725";"DesignLed";"Светильники";"Трековые системы";"Однофазные трековые системы";"401.00";"RUB"
"00-00004386";"L-коннектор для трехфазного трека";"004386";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1345.00";"RUB"
"00-00004387";"L-коннектор для трехфазного трека";"004387";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1345.00";"RUB"
"00-00005443";"L-коннектор для трехфазного трека";"005443";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1345.00";"RUB"
"00-00005444";"L-коннектор для трехфазного трека";"005444";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1345.00";"RUB"
"00-00012187";"LF-GIR013YS0250H";"012187";"";"Светильники";"COMBO 2";"";"778.00";"RUB"
