"Внешний код";"Длинное наименование [OLD_NAME]";"Артикул [ARTNUMBER]";"Бренд [MANUFACTURER]";"Название раздела";"Название раздела";"Название раздела";"Цена ""Розничная цена""";"Валюта для цены ""Розничная цена""";"Количество на складе ""Основной склад (с. Дмитровское)"""
"00-00003776";"Драйвер диммируемый для светильников COMBO, 9-15W, 350мА, подходит к Combo, KZ 12W, MJ-1001, MJ-1002, DL-TRE (заменен на DRV-EUP12T-1HMC-0)";"003776";"HEP";"Светильники";"Драйверы";"Диммируемые";"2253.00";"RUB";"10"
"9916";"";"";"LUMKER";"Светильники";"Потолочные";"Светильники-конструкторы";"12050.00";"RUB";""
"10322";"";"";"LUMKER";"Светильники";"Потолочные";"Светильники-конструкторы";"8827.00";"RUB";""
"10323";"";"";"LUMKER";"Светильники";"Потолочные";"Светильники-конструкторы";"8827.00";"RUB";""
"9917";"";"";"LUMKER";"Светильники";"Потолочные";"Светильники-конструкторы";"9430.00";"RUB";""
"9918";"";"";"LUMKER";"Светильники";"Потолочные";"Светильники-конструкторы";"8827.00";"RUB";""
"9919";"";"";"LUMKER";"Светильники";"Потолочные";"Светильники-конструкторы";"8592.00";"RUB";""
"9912";"";"";"LUMKER";"Светильники";"Потолочные";"Светильники-конструкторы";"8827.00";"RUB";""
"9920";"";"";"LUMKER";"Светильники";"Потолочные";"Светильники-конструкторы";"8827.00";"RUB";""
"9921";"";"";"LUMKER";"Светильники";"Потолочные";"Светильники-конструкторы";"9548.00";"RUB";""
"00-00011329";"";"011329";"";"Светильники";"COMBO 2";"";"2737.00";"RUB";"1419"
"00-00011328";"";"011328";"";"Светильники";"COMBO 2";"";"2737.00";"RUB";"551"
"00-00011704";"";"011704";"";"Светильники";"COMBO 2";"";"2513.00";"RUB";"2090"
"00-00011703";"";"011703";"";"Светильники";"COMBO 2";"";"2513.00";"RUB";"409"
"00-00011665";"";"011665";"";"Светильники";"COMBO 2";"";"1663.00";"RUB";"468"
"00-00011666";"";"011666";"";"Светильники";"COMBO 2";"";"1663.00";"RUB";"271"
"00-00008644";"Коннектор питания гибкий,  цвет: Черный";"008644";"DesignLed";"Светильники";"Трековые системы";"Однофазные трековые системы";"1498.00";"RUB";"83"
"00-00008643";"Коннектор питания гибкий,  цвет: Белый";"008643";"DesignLed";"Светильники";"Трековые системы";"Однофазные трековые системы";"1498.00";"RUB";"78"
"00-00005467";"I коннектор для однофазных встраиваемых трековыx систем, Белый";"005467";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB";"0"
"00-00004908";"I коннектор для однофазных встраиваемых трековыx систем, Черный";"004908";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB";"0"
"00-00000905";"I коннектор для однофазных трековыx систем, Черный";"000905";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB";"420"
"00-00000413";"I коннектор для однофазных трековыx систем, Белый";"000413";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB";"97"
"00-00003723";"I коннектор для трековых систем, черный";"003723";"DesignLed";"Светильники";"Трековые системы";"Однофазные трековые системы";"247.00";"RUB";"14"
"00-00003722";"I коннектор для трековых систем, белый";"003722";"DesignLed";"Светильники";"Трековые системы";"Однофазные трековые системы";"247.00";"RUB";"0"
"00-00005442";"I коннектор для трековых систем, белый";"005442";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1345.00";"RUB";"121"
"00-00004385";"I коннектор для трековых систем, черный";"004385";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1345.00";"RUB";"0"
"00-00005468";"L коннектор для однофазных встраиваемых трековыx систем, Черный";"005468";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB";"50"
"00-00004909";"L коннектор для однофазных встраиваемых трековыx систем, Белый";"004909";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB";"74"
"00-00000414";"L коннектор для однофазных трековыx систем, Черный";"000414";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB";"192"
"00-00001839";"L коннектор для однофазных трековыx систем, Белый";"001839";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB";"736"
"00-00003724";"L коннектор для трековых систем, белый";"003724";"DesignLed";"Светильники";"Трековые системы";"Однофазные трековые системы";"401.00";"RUB";"22"
"00-00003725";"L коннектор для трековых систем, черный";"003725";"DesignLed";"Светильники";"Трековые системы";"Однофазные трековые системы";"401.00";"RUB";"375"
"00-00004386";"L коннектор для трековых систем, левый, черный";"004386";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1345.00";"RUB";"52"
"00-00004387";"L коннектор для трековых систем, правый, черный";"004387";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1345.00";"RUB";"77"
"00-00005443";"L коннектор для трековых систем, левый, белый";"005443";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1345.00";"RUB";"0"
"00-00005444";"L коннектор для трековых систем, правый, белый";"005444";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1345.00";"RUB";"0"
"00-00012187";"";"012187";"";"Светильники";"COMBO 2";"";"778.00";"RUB";"149"
"00-00012188";"";"012188";"";"Светильники";"COMBO 2";"";"778.00";"RUB";"576"
"00-00012189";"";"012189";"";"Светильники";"COMBO 2";"";"873.00";"RUB";"3285"
"00-00012190";"";"012190";"";"Светильники";"COMBO 2";"";"1085.00";"RUB";"477"
"easy135";"";"";"";"Управление светом";"Приемники и усилители";"";"4900.00";"RUB";""
"easy133";"";"";"";"Управление светом";"Приемники и усилители";"";"4100.00";"RUB";""
"easy132";"";"";"";"Управление светом";"Приемники и усилители";"";"2800.00";"RUB";""
"easy134";"";"";"";"Управление светом";"Приемники и усилители";"";"4500.00";"RUB";""
"00-00000844";"T коннектор для однофазных трековыx систем, Белый";"000844";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB";"164"
"00-00001840";"T коннектор для однофазных трековыx систем, Черный";"001840";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB";"51"
"00-00004388";"T коннектор для трековых систем, левый, черный";"004388";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1970.00";"RUB";"98"
"00-00004389";"T коннектор для трековых систем, правый, черный";"004389";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1970.00";"RUB";"79"
"00-00005445";"T коннектор для трековых систем, левый, белый";"005445";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1970.00";"RUB";"0"
"00-00005446";"T коннектор для трековых систем, правый, белый";"005446";"DesignLed";"Светильники";"Трековые системы";"Трехфазные трековые системы";"1970.00";"RUB";"0"
"00-00007050";"";"007050";"LumFer";"Профильные системы";"Профили для натяжного потолка";"Серия LF";"3209.00";"RUB";""
"00-00007057";"";"007057";"LumFer";"Профильные системы";"Профили для натяжного потолка";"Серия LF";"3209.00";"RUB";""
"10146";"";"";"";"Маркетинговая продукция";"";"";"";"";""
"00-00011710";"Драйвер Tridonic LC15/300/50 fixC SR SNC2";"011710";"";"Светильники";"COMBO 2";"";"1510.00";"RUB";"2130"
"00-00001703";"Веб-сервер ES-HC для приложения Easydim. Включена лицензия на 15 зон.";"001703";"EasyDim";"Управление светом";"Беспроводная система EasyDim";"WiFi решения";"15210.00";"RUB";""
"easy127";"";"";"";"Управление светом";"Управление со смартфонов, планшетов и ПК";"";"5300.00";"RUB";""
"00-00001526";"WiFi шлюз RF-GW";"001526";"EasyDim";"Управление светом";"Беспроводная система EasyDim";"WiFi решения";"9168.00";"RUB";"0"
"00-00003131";"WiFi шлюз RF-GW";"003131";"EasyDim";"Управление светом";"Беспроводная система EasyDim";"WiFi решения";"9168.00";"RUB";"0"
"00-00002031";"x коннектор для однофазных трековыx систем, Белый";"002031";"SWG";"Светильники";"Трековые системы";"Однофазные трековые системы";"495.00";"RUB";"0"
